Academic_Year,UDISE_Code,district_name & code,block_name & code,School_Name,PP3_B,PP3_G,PP3_T,PP2_B,PP2_G,PP2_T,PP1_B,PP1_G,PP1_T,C1B,C1G,C1T,C2B,C2G,C2T,C3B,C3G,C3T,C4B,C4G,C4T,C5B,C5G,C5T,C6B,C6G,C6T,C7B,C7G,C7T,C8B,C8G,C8T,C9B,C9G,C9T,C10B,C10G,C10T,C11B,C11G,C11T,C12B,C12G,C12T,Total
2023-24,28110201701,VIZIANAGARAM (2812),VANGARA (281102),MPPS VANGARA,0,0,0,0,0,0,0,0,0,5,2,0,3,1,0,4,2,0,4,9,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
2023-24,28110601502,SRIKAKULAM (2811),LAVERU (281106),MPPS LAVERU,0,0,0,0,1,0,0,1,0,4,2,0,3,5,0,6,1,0,2,8,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
2023-24,28110700804,SRIKAKULAM (2811),RANASTHALAM (281107),MPPS JR PURAM,0,0,0,0,0,0,0,0,0,2,2,0,2,3,0,2,3,0,3,5,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
2023-24,28110801503,SRIKAKULAM (2811),ETCHERLA (281108),MPPS ETCHERLA,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,5,0,5,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2023-24,28111001801,VIZIANAGARAM (2812),SANTHAKAVITI (281110),MPPS SANTHAKAVITI,0,0,0,0,0,0,0,0,0,3,3,0,4,3,0,4,6,0,6,7,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
2023-24,28111101702,SRIKAKULAM (2811),BURJA (281111),MPUPS MADANAPURAM,0,0,0,0,0,0,0,0,0,12,12,0,9,10,0,6,9,0,5,9,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
2023-24,28111304704,MANYAM (2829),SEETHAMPETA (281113),GES SEETHAMPETA,0,0,0,0,0,0,0,0,0,3,6,0,6,8,0,10,5,0,4,7,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
2023-24,28111401503,MANYAM (2829),BHAMINI (281114),MPPS BHAMINI COLONY,0,0,0,0,0,0,0,0,0,9,6,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2023-24,28111501609,SRIKAKULAM (2811),KOTTURU (281115),GHS KOTHURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,42,0,47,48,0,56,72,0,62,67,0,77,58,0,0,0,0,0,0,0,580
2023-24,28111602608,SRIKAKULAM (2811),HIRAMANDALAM (281116),GHS HIRAMANDALAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,39,24,0,51,34,0,61,45,0,84,62,0,0,0,0,0,0,0,468
2023-24,28111705803,SRIKAKULAM (2811),SARUBUJJILI (281117),ZPHS SARUBUJJILI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,10,11,0,18,11,0,16,14,0,10,14,0,0,0,0,0,0,0,120
2023-24,28111890188,SRIKAKULAM (2811),AMADALAVALASA (281118),MPL HS AMADALAVALASA GATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,10,0,8,11,0,21,16,0,17,18,0,27,18,0,18,22,0,33,33,0,0,0,0,0,0,0,270
2023-24,28111990653,SRIKAKULAM (2811),SRIKAKULAM (281119),GHS SRIKAKULAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,0,22,31,0,24,29,0,51,40,0,69,30,0,76,21,0,101,22,0,62,27,0,0,0,0,0,0,0,636
2023-24,28112000403,SRIKAKULAM (2811),GARA (281120),MPPS KUMMARIPETA,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,0,3,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
2023-24,28112203114,SRIKAKULAM (2811),NARASANNAPETA (281122),GHS NARASANNAPETA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,4,5,0,6,9,0,18,27,0,26,22,0,33,34,0,74,74,0,42,62,0,0,0,0,0,0,0,451
2023-24,28112303201,SRIKAKULAM (2811),JALUMURU (281123),MPPS JALUMURU,0,0,0,0,0,0,0,0,0,4,3,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2023-24,28112704808,SRIKAKULAM (2811),TEKKALI (281127),MPPS TEKKALI VD,0,0,0,0,0,0,0,0,0,3,1,0,6,6,0,1,6,0,3,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2023-24,28113007807,SRIKAKULAM (2811),NANDIGAM (281130),ZPHS NANDIGAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,22,0,26,16,0,38,26,0,31,33,0,59,29,0,0,0,0,0,0,0,318
2023-24,28113306502,SRIKAKULAM (2811),MANDASA (281133),ZPHS HARIPURAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,0,36,25,0,55,42,0,52,69,0,72,67,0,0,24,0,0,0,0,495
2023-24,28113401306,SRIKAKULAM (2811),SOMPETA (281134),MPUPS P.K STREET,0,0,0,3,4,0,1,1,0,8,9,0,8,15,0,8,10,0,15,16,0,9,18,0,15,15,0,10,17,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,203
2023-24,28113601413,SRIKAKULAM (2811),KAVITI (281136),MPPS KAVITI,0,0,0,0,0,0,0,1,0,22,21,0,20,29,0,21,23,0,21,29,0,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247
2023-24,28113790204,SRIKAKULAM (2811),ICHAPURAM (281137),MPLPS MUTYALAMMAPETA,0,0,0,0,0,0,0,0,0,10,5,0,5,3,0,7,8,0,11,11,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
2023-24,28113801904,SRIKAKULAM (2811),LAXMINARSU PETA (281138),MPPS ROTARYNAGAR,0,0,0,0,0,0,0,0,0,4,4,0,3,2,0,4,3,0,2,2,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2023-24,28120207502,MANYAM (2829),G.L.PURAM (281202),MPPS ELWINPETA PB COL,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,2,7,0,4,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
2023-24,28120802201,MANYAM (2829),SEETHANAGARAM (281208),MPPS SEETANAGARAM,0,0,0,0,4,0,1,2,0,3,6,0,9,7,0,4,11,0,7,8,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
2023-24,28121201402,MANYAM (2829),PACHIPENTA (281212),MPPS PACHIPENTA YEDLA ST,0,0,0,0,0,0,0,0,0,11,11,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2023-24,28121401601,VIZIANAGARAM (2812),BADANGI (281214),MPPS BADANGI,0,0,0,0,0,0,0,0,0,4,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2023-24,28121601201,VIZIANAGARAM (2812),MERAKAMUDIDAM (281216),MPPS MERAKAMUDIDAM,0,0,0,0,0,0,0,0,0,6,1,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2023-24,28121803203,VIZIANAGARAM (2812),MENTADA (281218),MPPS MENTADA - H,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,4,0,2,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
2023-24,28121901203,VIZIANAGARAM (2812),GAJAPATHINAGARAM (281219),MPPS P PENTA NEW COL,0,0,0,0,0,0,0,0,0,6,6,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
2023-24,28122003001,VIZIANAGARAM (2812),BONDAPALLI (281220),MPPS AMBATIVALASA,0,0,0,0,0,0,0,0,0,7,9,0,7,3,0,13,6,0,5,5,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
2023-24,28122103502,VIZIANAGARAM (2812),GURLA (281221),MPPS GURLA(REG),0,0,0,0,0,0,0,0,0,9,13,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
2023-24,28122300211,VIZIANAGARAM (2812),CHEEPURUPALLI (281223),MPPS POLICE LINE CPP,0,0,0,0,0,0,0,0,0,2,3,0,3,3,0,3,3,0,2,6,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
2023-24,28122600102,VIZIANAGARAM (2812),BHOGAPURAM (281226),MPPS BHOGAPURAM,0,0,0,0,0,0,0,0,0,1,3,0,1,4,0,1,2,0,3,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
2023-24,28122902402,VIZIANAGARAM (2812),GANTYADA (281229),MPPS KORLAM,0,0,0,4,3,0,0,0,0,4,5,0,4,3,0,1,3,0,5,6,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
2023-24,28123001713,VIZIANAGARAM (2812),SRUNGAVARAPUKOTA (281230),MPPS SKOTA,0,0,0,3,4,0,1,0,0,1,1,0,3,4,0,5,8,0,1,9,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2023-24,28123102301,VIZIANAGARAM (2812),VEPADA (281231),MPPS VALLAMPUDI,0,0,0,0,0,0,0,0,0,4,2,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2023-24,28123200703,VIZIANAGARAM (2812),LAKAVARAPUKOTA (281232),MPPS LKOTA-1,0,0,0,1,2,0,1,2,0,4,5,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2023-24,28130112701,ASR (2830),MUNCHINGPUT (281301),MPUPS Kinchaiput,0,0,0,0,0,0,0,0,0,1,6,0,6,3,0,0,6,0,4,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2023-24,28130307401,ASR (2830),HUKUMPETA (281303),GOVT PS Hukumpeta,0,0,0,0,0,0,0,0,0,11,5,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2023-24,28130404601,ASR (2830),DUMBRIGUDA (281304),MPPS Dumbriguda,0,0,0,0,0,0,0,0,0,6,9,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2023-24,28130590501,ASR (2830),ARAKUVALLEY (281305),MPPS KONDA VEEDHI,0,0,0,0,0,0,0,0,0,6,7,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2023-24,28130607801,ASR (2830),ANANTHAGIRI (281306),MPPS ANANTHAGIRI,0,0,0,0,0,0,0,0,0,17,20,0,20,19,0,12,15,0,12,9,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
2023-24,28131112308,ASR (2830),G.MADUGULA (281311),MPPS G.MADUGULA,0,0,0,0,0,0,0,0,0,11,10,0,16,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
2023-24,28131309507,ASR (2830),G.K.VEEDHI (281313),GOVT PS RINTHADA,0,0,0,0,0,0,0,0,0,5,8,0,9,15,0,11,10,0,17,10,0,16,20,0,12,13,0,17,9,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,197
2023-24,28131404003,ASR (2830),KOYYURU (281314),GOVT HSKoyyuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,7,0,23,4,0,33,35,0,42,25,0,39,17,0,30,31,0,27,15,0,0,0,0,0,0,0,341
2023-24,28131501003,ANAKAPALLI (2836),GOLUGONDA (281315),MPUPS GOLUGONDA,0,0,0,0,0,0,0,0,0,6,6,0,6,9,0,3,4,0,8,6,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
2023-24,28131802401,ANAKAPALLI (2836),ROLUGUNTA (281318),MPPS ROLUGUNTA MAIN,0,0,0,5,8,0,6,5,0,6,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
2023-24,28131901910,ANAKAPALLI (2836),RAVIKAMATHAM (281319),MPPS RAVIKAMATHAM,0,0,0,0,0,0,0,0,0,3,8,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
2023-24,28132790211,VISAKHAPATNAM (2813),BHEEMUNIPATNAM (281327),MPL PS 23RD WARD,0,0,0,0,0,0,0,0,0,3,1,0,7,0,0,7,0,0,8,4,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
2023-24,28133190334,VISAKHAPATNAM (2813),PEDAGANTAYADA (281331),MPPS NELLIMUKKU,0,0,0,0,0,0,0,0,0,13,7,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
2023-24,28133303301,ANAKAPALLI (2836),ANAKAPALLI (281333),MPPS K. Koppaka,0,0,0,4,4,0,3,5,0,1,2,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2023-24,28133401402,ANAKAPALLI (2836),MUNAGAPAKA (281334),MPPS III SANTHA BAYALU MUNAGAPAKA,0,0,0,0,0,0,0,0,0,2,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2023-24,28133601603,ANAKAPALLI (2836),MAKAVARAPALEM (281336),MPPS MAKAVARAPALEM,0,0,0,0,4,0,0,0,0,2,1,0,2,2,0,4,4,0,6,5,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
2023-24,28133800101,ANAKAPALLI (2836),PAYAKARAOPETA (281338),MPPS (PH) P.R. PETA,0,0,0,0,0,0,0,0,0,6,9,0,6,5,0,3,6,0,5,8,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
2023-24,28134202812,ANAKAPALLI (2836),RAMBILLI (281342),MPPS RAMBILLI,0,0,0,4,0,0,4,1,0,0,1,0,4,1,0,5,2,0,5,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2023-24,28140104903,ASR (2830),MAREDUMILLI (281401),MPPS MAREDUMILLI,0,0,0,0,0,0,0,0,0,25,22,0,24,24,0,19,20,0,25,29,0,22,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241
2023-24,28140208301,ASR (2830),Y.RAMAVARAM (281402),MPPS Y RAMAVARAM,0,0,0,0,0,0,0,0,0,6,8,0,9,14,0,5,11,0,10,4,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
2023-24,28140402601,ASR (2830),RAJAVOMMANGI (281404),GPS (TW) KAMMARIPETA,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,1,1,0,2,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2023-24,28140501104,KAKINADA (2834),KOTANANDURU (281405),MPPS KOTANANDURU,0,0,0,0,0,0,0,0,0,6,10,0,4,10,0,9,6,0,7,10,0,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
2023-24,28140691409,KAKINADA (2834),TUNI (281406),MPL PS  VV PETA TUNI,0,0,0,0,0,0,0,0,0,6,4,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2023-24,28140700910,KAKINADA (2834),THONDANGI (281407),MPUPS PAMPADIPETA,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,3,0,0,1,3,0,3,4,0,3,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2023-24,28140800911,KAKINADA (2834),GOLLAPROLU (281408),MPPS (GN) GOLLAPROLU,0,0,0,10,7,0,1,1,0,1,3,0,1,1,0,0,1,0,1,6,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
2023-24,28141004006,KAKINADA (2834),PRATIPADU (281410),ZPHS DHARMAVARAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,47,0,46,55,0,60,33,0,51,48,0,62,49,0,0,0,0,0,0,0,495
2023-24,28141203805,ASR (2830),GANGAVARAM (281412),MPUPS (CH) NELLIPUDI,0,0,0,0,0,0,0,0,0,3,5,0,2,2,0,4,5,0,5,7,0,4,5,0,14,10,0,16,8,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,106
2023-24,28141404303,ASR (2830),DEVIPATNAM (281414),MPPS INDUKURUPETA,0,0,0,0,0,0,0,0,0,10,7,0,5,9,0,7,9,0,12,15,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
2023-24,28141500709,EAST GODAVARI (2814),SEETHANAGARAM (281415),MPPS (NO.2) SEETHANAGARAM,0,0,0,0,0,0,0,0,0,8,11,0,13,11,0,15,6,0,10,11,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
2023-24,28141600604,EAST GODAVARI (2814),KORUKONDA (281416),MPPS (NO.4) KORUKONDA,0,0,0,0,0,0,0,0,0,1,3,0,2,4,0,5,3,0,9,8,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
2023-24,28141700312,EAST GODAVARI (2814),GOKAVARAM (281417),MPPS (MAIN) GOKAVARAM,0,0,0,0,0,0,0,0,0,11,13,0,11,15,0,15,11,0,14,22,0,32,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
2023-24,28141901602,KAKINADA (2834),KIRLAMPUDI (281419),MPPS (NO.1) KIRLAMPUDI,0,0,0,0,0,0,0,0,0,6,1,0,4,1,0,4,7,0,5,10,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
2023-24,28142090601,KAKINADA (2834),PEDDAPURAM (281420),MG MPL PS  PDP,0,0,0,0,0,0,0,0,0,6,4,0,2,7,0,4,4,0,5,14,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
2023-24,28142201301,KAKINADA (2834),U.KOTHAPALLI (281422),MPPS SN (NO.1) UPPADA,0,0,0,0,0,0,0,0,0,12,11,0,17,11,0,21,20,0,37,37,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230
2023-24,28143600609,KAKINADA (2834),KARAPA (281436),ZPHS KARAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,59,0,76,69,0,97,106,0,86,91,0,137,118,0,0,34,0,0,15,0,953
2023-24,28143700631,KAKINADA (2834),THALLAREVU (281437),ZPHS LAKSHMIPATHIPURAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,4,8,0,10,12,0,20,30,0,24,23,0,20,26,0,37,33,0,24,46,0,0,0,0,0,0,0,329
2023-24,28143990904,KONASEEMA (2831),RAMACHANDRAPURAM (281439),SJ MPL PS PILLAVARI STREET,0,0,0,0,0,0,0,0,0,12,5,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2023-24,28144000501,KONASEEMA (2831),RAYAVARAM (281440),MPPS (MAIN) SOMESWARAM,0,0,0,1,3,0,3,1,0,6,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2023-24,28144101203,KONASEEMA (2831),KAPILESWARAPURAM (281441),MPPS (DC) KAPILESWARAPURAM,0,0,0,0,0,0,0,0,0,3,6,0,6,3,0,10,2,0,4,4,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
2023-24,28144301201,KONASEEMA (2831),ATREYAPURAM (281443),MPPS LOLLA,0,0,0,0,0,0,0,0,0,2,7,0,3,2,0,4,8,0,12,11,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
2023-24,28144501602,KONASEEMA (2831),K.GANGAVARAM (281445),MPPS (NO.1) GANGAVARAM,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,4,3,0,2,3,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2023-24,28144600301,KONASEEMA (2831),KOTHAPETA (281446),MPPS (GTN) KOTHAPETA,0,0,0,0,0,0,0,0,0,2,3,0,3,6,0,6,3,0,3,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2023-24,28145100701,KONASEEMA (2831),I.POLAVARAM (281451),MPPS T KOTHAPALLI,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2023-24,28145200101,KONASEEMA (2831),KATRENIKONA (281452),MPPS CHEYYERU,0,0,0,0,0,0,0,0,0,3,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2023-24,28145300910,KONASEEMA (2831),UPPALAGUPTAM (281453),MPPS UPPALAGUPTAM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2023-24,28145500701,KONASEEMA (2831),ALLAVARAM (281455),MPPS GODILANKA,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,3,3,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2023-24,28145800702,KONASEEMA (2831),MALIKIPURAM (281458),MPPS BATTELANKA,0,0,0,0,0,0,0,0,0,3,2,0,5,2,0,4,3,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2023-24,28146103601,ASR (2830),V.R.PURAM (281461),MPPS ANNAVARAM,0,0,0,0,0,0,0,0,0,7,6,0,4,5,0,2,5,0,16,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
2023-24,28146304605,ASR (2830),KUNAVARAM (281463),ZPHS KUNAVARAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,8,6,0,12,9,0,13,20,0,20,22,0,17,27,0,16,18,0,12,23,0,0,0,0,0,0,0,233
2023-24,28146403001,ASR (2830),NELLIPAKA (281464),GPS (TW) LAKSHMIDEVIPETA,0,0,0,0,0,0,0,0,0,6,2,0,7,7,0,6,2,0,12,12,0,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
2023-24,28150600413,ELURU (2835),KOYYALAGUDEM (281506),"MPPS (MAIN), KOYYALAGUDEM",0,0,0,0,0,0,0,0,0,9,10,0,12,9,0,13,6,0,7,10,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
2023-24,28150800713,ELURU (2835),T.NARSAPURAM (281508),"MPPS, T NARASAPURAM",0,0,0,0,0,0,0,0,0,6,4,0,9,11,0,13,9,0,16,7,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
2023-24,28151202406,ELURU (2835),DWARAKATIRUMALA (281512),ZPHS PANGIDIGUDEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,35,0,42,33,0,44,42,0,49,41,0,59,62,0,0,0,0,0,0,0,436
2023-24,28151500205,EAST GODAVARI (2814),CHAGALLU (281515),"MPPS (VVSS), CHAGALLU",0,0,0,0,0,0,0,0,0,5,7,0,0,2,0,5,6,0,3,14,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
2023-24,28151900410,ELURU (2835),UNGUTURU (281519),ZPHS UNGUTURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,47,0,35,49,0,52,59,0,43,53,0,49,56,0,0,0,0,0,0,0,480
2023-24,28152000308,ELURU (2835),BHIMADOLE (281520),ZPHS BHIMADOLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,76,0,117,124,0,108,88,0,119,98,0,81,86,0,0,0,0,0,0,0,984
2023-24,28152101306,ELURU (2835),PEDAVEGI (281521),"MPPS, PEDAVEGI",0,0,0,0,0,0,0,0,0,5,9,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2023-24,28152700406,WEST GODAVARI (2815),PENTAPADU (281527),GPS PENTAPADU,0,0,0,0,0,0,0,0,0,3,2,0,3,2,0,4,3,0,0,3,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
